visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
912,2021-08-01 00:00:00+02:00,day,2565,2550,2560,10 days 09:32:55,9 days 22:41:55,9 days 19:22:05,10 days 07:43:05,9 days 18:16:35,9 days 21:57:35,0 days 00:05:50.243665
912,2021-08-02 00:00:00+02:00,day,3912,3907,3909,13 days 09:45:35,13 days 08:30:55,13 days 07:55:45,13 days 08:31:05,13 days 07:25:25,13 days 07:46:45,0 days 00:04:56.097904
912,2021-08-03 00:00:00+02:00,day,3940,3937,3934,14 days 13:24:35,14 days 07:10:15,14 days 12:10:05,13 days 23:59:05,14 days 06:39:55,13 days 23:14:55,0 days 00:05:19.257614
912,2021-08-04 00:00:00+02:00,day,4407,4401,4403,17 days 04:10:55,16 days 18:12:55,16 days 14:45:25,16 days 19:56:25,16 days 12:42:45,16 days 12:01:05,0 days 00:05:36.704107
912,2021-08-05 00:00:00+02:00,day,4984,4980,4977,18 days 12:17:10,18 days 04:47:10,18 days 04:02:40,18 days 08:21:35,18 days 02:44:30,18 days 02:09:45,0 days 00:05:20.912921
912,2021-08-06 00:00:00+02:00,day,4159,4152,4152,14 days 17:44:30,14 days 13:44:55,14 days 13:48:55,14 days 13:54:25,14 days 12:26:45,14 days 11:17:00,0 days 00:05:06.196201
912,2021-08-07 00:00:00+02:00,day,3808,3801,3797,15 days 08:14:35,14 days 23:44:10,15 days 04:24:30,14 days 22:08:15,14 days 22:22:00,14 days 19:40:20,0 days 00:05:48.128939
912,2021-08-08 00:00:00+02:00,day,2529,2518,2524,9 days 17:52:05,9 days 12:31:20,9 days 07:45:45,9 days 13:54:50,9 days 06:28:50,9 days 09:51:00,0 days 00:05:32.908264
912,2021-08-09 00:00:00+02:00,day,3923,3918,3922,15 days 05:04:10,15 days 01:01:50,15 days 01:06:55,15 days 03:26:00,14 days 23:44:55,15 days 00:45:40,0 days 00:05:35.011471
912,2021-08-10 00:00:00+02:00,day,3972,3971,3966,15 days 02:41:55,14 days 21:28:45,15 days 01:03:45,14 days 18:28:10,14 days 20:06:45,14 days 18:12:00,0 days 00:05:28.729859
912,2021-08-11 00:00:00+02:00,day,4272,4266,4266,16 days 09:04:30,16 days 03:25:45,16 days 00:50:45,15 days 15:57:30,15 days 22:28:45,15 days 12:40:45,0 days 00:05:31.242978
912,2021-08-12 00:00:00+02:00,day,4706,4700,4704,18 days 21:17:55,18 days 06:28:20,18 days 04:10:55,18 days 20:23:45,18 days 04:06:20,18 days 05:38:45,0 days 00:05:46.764768
912,2021-08-13 00:00:00+02:00,day,4706,4704,4697,19 days 08:42:05,19 days 01:09:50,19 days 07:47:55,18 days 20:15:25,19 days 01:05:15,18 days 19:25:50,0 days 00:05:55.487675
912,2021-08-14 00:00:00+02:00,day,4203,4194,4191,14 days 05:35:40,13 days 19:46:05,13 days 17:09:00,13 days 19:27:50,13 days 13:03:25,13 days 13:43:50,0 days 00:04:52.586248
912,2021-08-15 00:00:00+02:00,day,2491,2479,2486,9 days 22:01:10,9 days 15:23:25,9 days 11:53:20,9 days 18:42:55,9 days 11:17:50,9 days 12:40:40,0 days 00:05:43.986351
912,2021-08-16 00:00:00+02:00,day,4429,4424,4418,17 days 11:05:25,16 days 22:27:10,17 days 07:47:10,16 days 14:53:30,16 days 21:51:40,16 days 12:10:45,0 days 00:05:40.646873
912,2021-08-17 00:00:00+02:00,day,3856,3845,3854,14 days 14:39:00,14 days 03:28:40,13 days 18:27:05,14 days 13:27:50,13 days 17:33:10,14 days 03:11:25,0 days 00:05:27.370332
912,2021-08-18 00:00:00+02:00,day,4396,4394,4393,17 days 00:11:00,16 days 23:36:35,16 days 22:59:50,16 days 20:55:50,16 days 22:42:40,16 days 20:38:35,0 days 00:05:34.272066
912,2021-08-19 00:00:00+02:00,day,4818,4815,4809,19 days 03:44:35,18 days 19:43:00,19 days 00:29:25,18 days 20:04:10,18 days 19:25:50,18 days 17:06:10,0 days 00:05:43.519095
912,2021-08-20 00:00:00+02:00,day,5320,5311,5311,21 days 03:49:30,20 days 21:44:15,20 days 20:09:05,20 days 21:56:35,20 days 16:40:40,20 days 19:19:45,0 days 00:05:43.640977
912,2021-08-21 00:00:00+02:00,day,4626,4617,4615,17 days 15:16:40,17 days 08:52:40,17 days 09:23:45,17 days 00:59:20,17 days 05:24:15,16 days 22:34:50,0 days 00:05:29.399049
912,2021-08-22 00:00:00+02:00,day,2475,2464,2469,10 days 16:00:40,9 days 21:01:25,10 days 01:43:20,9 days 16:28:30,9 days 17:01:55,9 days 06:10:40,0 days 00:06:12.379798
912,2021-08-23 00:00:00+02:00,day,4938,4932,4934,18 days 11:39:40,17 days 20:30:05,17 days 12:07:30,18 days 09:25:10,17 days 11:48:40,17 days 18:34:25,0 days 00:05:23.446740
912,2021-08-24 00:00:00+02:00,day,4859,4855,4856,18 days 03:34:40,18 days 01:16:00,18 days 01:20:10,18 days 00:32:05,18 days 00:57:10,17 days 22:36:25,0 days 00:05:22.716608
912,2021-08-25 00:00:00+02:00,day,5106,5103,5106,19 days 10:28:05,19 days 07:48:30,19 days 07:25:30,19 days 10:28:05,19 days 07:25:30,19 days 07:48:30,0 days 00:05:28.884646
912,2021-08-26 00:00:00+02:00,day,5128,5128,5124,18 days 12:03:25,18 days 07:43:00,18 days 12:03:25,18 days 03:24:10,18 days 07:43:00,18 days 03:24:10,0 days 00:05:11.740445
912,2021-08-27 00:00:00+02:00,day,5575,5571,5565,21 days 18:35:15,21 days 06:36:40,21 days 09:56:00,21 days 05:22:25,21 days 02:16:15,21 days 01:03:35,0 days 00:05:37.455605
912,2021-08-28 00:00:00+02:00,day,4900,4890,4889,19 days 12:19:50,18 days 22:27:00,18 days 23:07:00,18 days 23:36:20,18 days 14:47:15,18 days 18:03:15,0 days 00:05:44.079592
912,2021-08-29 00:00:00+02:00,day,3421,3410,3416,12 days 05:27:30,11 days 19:18:15,11 days 16:44:00,11 days 19:50:05,11 days 10:58:30,11 days 15:26:20,0 days 00:05:08.813213
912,2021-08-30 00:00:00+02:00,day,4917,4912,4913,21 days 14:12:35,21 days 01:00:15,21 days 04:35:10,21 days 03:33:10,20 days 19:14:45,20 days 23:41:15,0 days 00:06:19.409193
912,2021-08-31 00:00:00+02:00,day,5249,5245,5244,18 days 09:35:35,18 days 05:57:40,17 days 22:56:10,18 days 05:23:20,17 days 20:37:15,18 days 04:04:20,0 days 00:05:02.864355
912,2021-09-01 00:00:00+02:00,day,5414,5409,5409,20 days 19:34:30,20 days 15:59:45,20 days 15:22:15,20 days 13:21:15,20 days 13:40:50,20 days 11:27:55,0 days 00:05:32.188770
912,2021-09-02 00:00:00+02:00,day,5047,5042,5044,18 days 23:53:15,18 days 17:48:15,18 days 17:40:00,18 days 18:08:45,18 days 16:06:50,18 days 13:36:55,0 days 00:05:25.182287
912,2021-09-03 00:00:00+02:00,day,5228,5225,5218,20 days 15:18:20,20 days 01:49:20,20 days 09:33:50,19 days 15:06:00,20 days 00:16:10,19 days 10:54:40,0 days 00:05:41.067330
912,2021-09-04 00:00:00+02:00,day,4444,4434,4433,16 days 04:36:05,15 days 10:34:45,15 days 04:23:45,15 days 17:34:10,15 days 01:17:05,15 days 02:39:30,0 days 00:05:14.798605
912,2021-09-05 00:00:00+02:00,day,2856,2845,2854,10 days 01:16:35,9 days 16:44:55,9 days 14:14:40,9 days 23:23:30,9 days 13:38:15,9 days 15:28:15,0 days 00:05:04.129902
912,2021-09-06 00:00:00+02:00,day,765,763,756,4 days 01:11:10,3 days 15:50:55,3 days 23:18:05,3 days 11:38:35,3 days 15:14:30,3 days 10:21:55,0 days 00:07:37.346405
912,2021-09-07 00:00:00+02:00,day,4759,4750,4754,18 days 10:56:00,17 days 18:15:15,17 days 21:23:25,17 days 07:26:00,17 days 10:11:40,17 days 01:57:00,0 days 00:05:35.061988
912,2021-09-08 00:00:00+02:00,day,5256,5251,5247,21 days 03:17:45,19 days 23:50:20,19 days 23:47:45,20 days 08:15:10,19 days 12:38:35,19 days 15:56:55,0 days 00:05:47.462900
912,2021-09-09 00:00:00+02:00,day,5333,5324,5323,22 days 13:39:10,21 days 23:03:15,21 days 18:36:35,21 days 17:31:45,21 days 11:54:05,21 days 09:38:20,0 days 00:06:05.638477
