visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
909,2021-08-01 00:00:00+02:00,day,66,66,66,0 days 01:52:30,0 days 01:52:30,0 days 01:52:30,0 days 01:52:30,0 days 01:52:30,0 days 01:52:30,0 days 00:01:42.272727
909,2021-08-02 00:00:00+02:00,day,110,110,110,0 days 02:00:45,0 days 02:00:45,0 days 02:00:45,0 days 02:00:45,0 days 02:00:45,0 days 02:00:45,0 days 00:01:05.863636
909,2021-08-03 00:00:00+02:00,day,116,116,116,0 days 01:39:55,0 days 01:39:55,0 days 01:39:55,0 days 01:39:55,0 days 01:39:55,0 days 01:39:55,0 days 00:00:51.681034
909,2021-08-04 00:00:00+02:00,day,121,121,121,0 days 02:28:35,0 days 02:28:35,0 days 02:28:35,0 days 02:28:35,0 days 02:28:35,0 days 02:28:35,0 days 00:01:13.677686
909,2021-08-05 00:00:00+02:00,day,144,144,144,0 days 02:13:50,0 days 02:13:50,0 days 02:13:50,0 days 02:13:50,0 days 02:13:50,0 days 02:13:50,0 days 00:00:55.763889
909,2021-08-06 00:00:00+02:00,day,108,108,108,0 days 02:33:10,0 days 02:33:10,0 days 02:33:10,0 days 02:33:10,0 days 02:33:10,0 days 02:33:10,0 days 00:01:25.092593
909,2021-08-07 00:00:00+02:00,day,113,113,113,0 days 02:49:25,0 days 02:49:25,0 days 02:49:25,0 days 02:49:25,0 days 02:49:25,0 days 02:49:25,0 days 00:01:29.955752
909,2021-08-08 00:00:00+02:00,day,105,105,105,0 days 03:55:30,0 days 03:55:30,0 days 03:55:30,0 days 03:55:30,0 days 03:55:30,0 days 03:55:30,0 days 00:02:14.571429
909,2021-08-09 00:00:00+02:00,day,172,172,172,0 days 04:47:10,0 days 04:47:10,0 days 04:47:10,0 days 04:47:10,0 days 04:47:10,0 days 04:47:10,0 days 00:01:40.174419
909,2021-08-10 00:00:00+02:00,day,176,176,176,0 days 04:48:50,0 days 04:48:50,0 days 04:48:50,0 days 04:48:50,0 days 04:48:50,0 days 04:48:50,0 days 00:01:38.465909
909,2021-08-11 00:00:00+02:00,day,192,192,192,0 days 06:43:45,0 days 06:43:45,0 days 06:43:45,0 days 06:43:45,0 days 06:43:45,0 days 06:43:45,0 days 00:02:06.171875
909,2021-08-12 00:00:00+02:00,day,242,242,242,0 days 08:02:45,0 days 08:02:45,0 days 08:02:45,0 days 08:02:45,0 days 08:02:45,0 days 08:02:45,0 days 00:01:59.690083
909,2021-08-13 00:00:00+02:00,day,157,157,157,0 days 11:19:00,0 days 11:19:00,0 days 11:19:00,0 days 11:19:00,0 days 11:19:00,0 days 11:19:00,0 days 00:04:19.490446
909,2021-08-14 00:00:00+02:00,day,207,207,206,0 days 20:07:30,0 days 18:33:00,0 days 20:07:30,0 days 16:20:45,0 days 18:33:00,0 days 16:20:45,0 days 00:05:50
909,2021-08-15 00:00:00+02:00,day,112,111,112,0 days 10:38:50,0 days 08:26:35,0 days 06:52:05,0 days 10:38:50,0 days 06:52:05,0 days 08:26:35,0 days 00:05:42.232143
909,2021-08-16 00:00:00+02:00,day,213,213,213,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 00:00:41.361502
909,2021-08-17 00:00:00+02:00,day,129,129,129,0 days 03:45:10,0 days 03:45:10,0 days 03:45:10,0 days 03:45:10,0 days 03:45:10,0 days 03:45:10,0 days 00:01:44.728682
909,2021-08-18 00:00:00+02:00,day,196,196,196,0 days 13:34:20,0 days 13:34:20,0 days 13:34:20,0 days 13:34:20,0 days 13:34:20,0 days 13:34:20,0 days 00:04:09.285714
909,2021-08-19 00:00:00+02:00,day,192,192,192,0 days 05:23:05,0 days 05:23:05,0 days 05:23:05,0 days 05:23:05,0 days 05:23:05,0 days 05:23:05,0 days 00:01:40.963542
909,2021-08-20 00:00:00+02:00,day,167,167,167,0 days 07:18:00,0 days 07:18:00,0 days 07:18:00,0 days 07:18:00,0 days 07:18:00,0 days 07:18:00,0 days 00:02:37.365269
909,2021-08-21 00:00:00+02:00,day,186,186,186,0 days 17:45:00,0 days 17:45:00,0 days 17:45:00,0 days 17:45:00,0 days 17:45:00,0 days 17:45:00,0 days 00:05:43.548387
909,2021-08-22 00:00:00+02:00,day,116,116,116,0 days 10:26:30,0 days 10:26:30,0 days 10:26:30,0 days 10:26:30,0 days 10:26:30,0 days 10:26:30,0 days 00:05:24.051724
909,2021-08-23 00:00:00+02:00,day,252,252,252,0 days 17:26:15,0 days 17:26:15,0 days 17:26:15,0 days 17:26:15,0 days 17:26:15,0 days 17:26:15,0 days 00:04:09.107143
909,2021-08-24 00:00:00+02:00,day,229,229,228,0 days 04:03:20,0 days 03:53:35,0 days 04:03:20,0 days 03:13:25,0 days 03:53:35,0 days 03:13:25,0 days 00:01:03.755459
909,2021-08-25 00:00:00+02:00,day,211,210,211,0 days 04:57:35,0 days 04:17:25,0 days 04:07:40,0 days 04:57:35,0 days 04:07:40,0 days 04:17:25,0 days 00:01:24.620853
909,2021-08-26 00:00:00+02:00,day,128,128,128,0 days 08:06:40,0 days 08:06:40,0 days 08:06:40,0 days 08:06:40,0 days 08:06:40,0 days 08:06:40,0 days 00:03:48.125000
909,2021-08-27 00:00:00+02:00,day,226,226,225,0 days 07:44:50,0 days 07:33:50,0 days 07:44:50,0 days 06:56:15,0 days 07:33:50,0 days 06:56:15,0 days 00:02:03.407080
909,2021-08-28 00:00:00+02:00,day,171,170,170,0 days 13:31:50,0 days 11:54:30,0 days 12:43:15,0 days 12:27:00,0 days 11:43:30,0 days 11:49:25,0 days 00:04:44.853801
909,2021-08-29 00:00:00+02:00,day,143,142,143,0 days 12:45:55,0 days 12:40:50,0 days 11:41:05,0 days 12:45:55,0 days 11:41:05,0 days 12:40:50,0 days 00:05:21.363636
909,2021-08-30 00:00:00+02:00,day,201,201,201,0 days 07:46:40,0 days 07:46:40,0 days 07:46:40,0 days 07:46:40,0 days 07:46:40,0 days 07:46:40,0 days 00:02:19.303483
909,2021-08-31 00:00:00+02:00,day,190,190,190,0 days 04:34:10,0 days 04:34:10,0 days 04:34:10,0 days 04:34:10,0 days 04:34:10,0 days 04:34:10,0 days 00:01:26.578947
909,2021-09-01 00:00:00+02:00,day,239,239,239,0 days 12:29:25,0 days 12:29:25,0 days 12:29:25,0 days 12:29:25,0 days 12:29:25,0 days 12:29:25,0 days 00:03:08.138075
909,2021-09-02 00:00:00+02:00,day,243,243,243,0 days 07:11:20,0 days 07:11:20,0 days 07:11:20,0 days 07:11:20,0 days 07:11:20,0 days 07:11:20,0 days 00:01:46.502058
909,2021-09-03 00:00:00+02:00,day,192,192,191,0 days 08:27:45,0 days 07:53:15,0 days 08:27:45,0 days 05:45:45,0 days 07:53:15,0 days 05:45:45,0 days 00:02:38.671875
909,2021-09-04 00:00:00+02:00,day,241,240,241,0 days 17:00:40,0 days 14:53:10,0 days 14:18:40,0 days 17:00:40,0 days 14:18:40,0 days 14:53:10,0 days 00:04:14.107884
909,2021-09-05 00:00:00+02:00,day,98,98,98,0 days 03:54:15,0 days 03:54:15,0 days 03:54:15,0 days 03:54:15,0 days 03:54:15,0 days 03:54:15,0 days 00:02:23.418367
909,2021-09-06 00:00:00+02:00,day,22,22,21,0 days 00:42:45,0 days 00:31:00,0 days 00:42:45,0 days 00:12:20,0 days 00:31:00,0 days 00:12:20,0 days 00:01:56.590909
909,2021-09-07 00:00:00+02:00,day,195,194,195,0 days 04:44:25,0 days 04:25:45,0 days 04:14:00,0 days 04:44:25,0 days 04:14:00,0 days 04:25:45,0 days 00:01:27.512821
909,2021-09-08 00:00:00+02:00,day,217,217,217,0 days 03:17:20,0 days 03:17:20,0 days 03:17:20,0 days 03:17:20,0 days 03:17:20,0 days 03:17:20,0 days 00:00:54.562212
909,2021-09-09 00:00:00+02:00,day,234,234,234,0 days 03:56:30,0 days 03:56:30,0 days 03:56:30,0 days 03:56:30,0 days 03:56:30,0 days 03:56:30,0 days 00:01:00.641026
909,2021-09-10 00:00:00+02:00,day,221,221,221,0 days 07:24:55,0 days 07:24:55,0 days 07:24:55,0 days 07:24:55,0 days 07:24:55,0 days 07:24:55,0 days 00:02:00.791855
909,2021-09-11 00:00:00+02:00,day,218,218,217,0 days 12:23:15,0 days 10:58:15,0 days 12:23:15,0 days 10:50:45,0 days 10:58:15,0 days 10:50:45,0 days 00:03:24.564220
909,2021-09-12 00:00:00+02:00,day,150,149,150,0 days 21:03:35,0 days 20:56:05,0 days 19:31:05,0 days 21:03:35,0 days 19:31:05,0 days 20:56:05,0 days 00:08:25.433333
909,2021-09-13 00:00:00+02:00,day,179,179,179,0 days 07:22:05,0 days 07:22:05,0 days 07:22:05,0 days 07:22:05,0 days 07:22:05,0 days 07:22:05,0 days 00:02:28.184358
909,2021-09-14 00:00:00+02:00,day,224,224,224,0 days 09:43:45,0 days 09:43:45,0 days 09:43:45,0 days 09:43:45,0 days 09:43:45,0 days 09:43:45,0 days 00:02:36.361607
909,2021-09-15 00:00:00+02:00,day,260,260,260,0 days 15:16:50,0 days 15:16:50,0 days 15:16:50,0 days 15:16:50,0 days 15:16:50,0 days 15:16:50,0 days 00:03:31.576923
909,2021-09-16 00:00:00+02:00,day,206,206,205,0 days 05:50:05,0 days 05:45:20,0 days 05:50:05,0 days 05:37:00,0 days 05:45:20,0 days 05:37:00,0 days 00:01:41.966019
909,2021-09-17 00:00:00+02:00,day,119,118,118,0 days 05:57:00,0 days 03:33:05,0 days 05:43:55,0 days 03:40:10,0 days 03:28:20,0 days 03:31:50,0 days 00:03:00
909,2021-09-18 00:00:00+02:00,day,171,170,170,0 days 10:41:55,0 days 10:36:00,0 days 08:25:05,0 days 09:32:30,0 days 08:20:25,0 days 09:31:15,0 days 00:03:45.233918
909,2021-09-19 00:00:00+02:00,day,127,126,127,0 days 15:23:40,0 days 14:18:55,0 days 14:14:15,0 days 15:23:40,0 days 14:14:15,0 days 14:18:55,0 days 00:07:16.377953
909,2021-09-20 00:00:00+02:00,day,175,175,175,0 days 14:44:55,0 days 14:44:55,0 days 14:44:55,0 days 14:44:55,0 days 14:44:55,0 days 14:44:55,0 days 00:05:03.400000
909,2021-09-21 00:00:00+02:00,day,183,183,183,0 days 14:45:30,0 days 14:45:30,0 days 14:45:30,0 days 14:45:30,0 days 14:45:30,0 days 14:45:30,0 days 00:04:50.327869
909,2021-09-22 00:00:00+02:00,day,239,239,239,0 days 08:04:30,0 days 08:04:30,0 days 08:04:30,0 days 08:04:30,0 days 08:04:30,0 days 08:04:30,0 days 00:02:01.631799
909,2021-09-23 00:00:00+02:00,day,215,215,215,0 days 05:23:55,0 days 05:23:55,0 days 05:23:55,0 days 05:23:55,0 days 05:23:55,0 days 05:23:55,0 days 00:01:30.395349
909,2021-09-24 00:00:00+02:00,day,241,241,241,0 days 08:59:25,0 days 08:59:25,0 days 08:59:25,0 days 08:59:25,0 days 08:59:25,0 days 08:59:25,0 days 00:02:14.294606
909,2021-09-25 00:00:00+02:00,day,192,192,192,0 days 11:55:55,0 days 11:55:55,0 days 11:55:55,0 days 11:55:55,0 days 11:55:55,0 days 11:55:55,0 days 00:03:43.723958
909,2021-09-26 00:00:00+02:00,day,120,120,120,0 days 13:10:55,0 days 13:10:55,0 days 13:10:55,0 days 13:10:55,0 days 13:10:55,0 days 13:10:55,0 days 00:06:35.458333
909,2021-09-27 00:00:00+02:00,day,183,183,183,0 days 10:26:55,0 days 10:26:55,0 days 10:26:55,0 days 10:26:55,0 days 10:26:55,0 days 10:26:55,0 days 00:03:25.546448
