id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
987852,294,926,2021-08-03 00:00:00+02:00,day,378,,0,0 days
984652,294,926,2021-08-02 00:00:00+02:00,day,87,,0,0 days
997747,294,926,2021-08-06 00:00:00+02:00,day,367,,0,0 days
991283,294,926,2021-08-04 00:00:00+02:00,day,217,,0,0 days
994561,294,926,2021-08-05 00:00:00+02:00,day,122,,0,0 days
1000742,294,926,2021-08-07 00:00:00+02:00,day,446,,0,0 days
1010802,294,926,2021-08-10 00:00:00+02:00,day,807,,0,0 days
1003437,294,926,2021-08-08 00:00:00+02:00,day,378,,0,0 days
1007087,294,926,2021-08-09 00:00:00+02:00,day,766,,0,0 days
1067628,294,926,2021-08-25 00:00:00+02:00,day,108,,0,0 days
1056212,294,926,2021-08-22 00:00:00+02:00,day,42,,0,0 days
1074326,294,926,2021-08-27 00:00:00+02:00,day,181,,0,0 days
1094538,294,926,2021-09-02 00:00:00+02:00,day,76,,0,0 days
1077897,294,926,2021-08-28 00:00:00+02:00,day,7,,0,0 days
1081479,294,926,2021-08-29 00:00:00+02:00,day,59,,0,0 days
1085049,294,926,2021-08-30 00:00:00+02:00,day,32,,0,0 days
1091453,294,926,2021-09-01 00:00:00+02:00,day,214,,0,0 days
1108344,294,926,2021-09-06 00:00:00+02:00,day,157,,0,0 days
1101106,294,926,2021-09-04 00:00:00+02:00,day,47,,0,0 days
1104325,294,926,2021-09-05 00:00:00+02:00,day,99,,0,0 days
1124722,294,926,2021-09-11 00:00:00+02:00,day,157,,0,0 days
1121183,294,926,2021-09-10 00:00:00+02:00,day,107,,0,0 days
1114621,294,926,2021-09-08 00:00:00+02:00,day,105,,0,0 days
1117864,294,926,2021-09-09 00:00:00+02:00,day,191,,0,0 days
1128501,294,926,2021-09-12 00:00:00+02:00,day,63,,0,0 days
1131501,294,926,2021-09-13 00:00:00+02:00,day,300,,0,0 days
1143933,294,926,2021-09-17 00:00:00+02:00,day,5,,0,0 days
1177668,294,926,2021-09-26 00:00:00+02:00,day,42,,0,0 days
1161148,294,926,2021-09-22 00:00:00+02:00,day,5,,0,0 days
1216262,294,926,2021-10-06 00:00:00+02:00,day,387,,0,0 days
1189425,294,926,2021-09-29 00:00:00+02:00,day,155,,0,0 days
1193193,294,926,2021-09-30 00:00:00+02:00,day,155,,0,0 days
1208727,294,926,2021-10-04 00:00:00+02:00,day,190,,0,0 days
1226033,294,926,2021-10-09 00:00:00+02:00,day,65,,0,0 days
1222664,294,926,2021-10-08 00:00:00+02:00,day,75,,0,0 days
1302443,294,926,2021-11-01 00:00:00+01:00,day,10,,0,0 days
1232627,294,926,2021-10-11 00:00:00+02:00,day,10,,0,0 days
1310537,294,926,2021-11-03 00:00:00+01:00,day,5,,0,0 days
1314346,294,926,2021-11-04 00:00:00+01:00,day,22,,0,0 days
1452728,294,926,2021-12-10 00:00:00+01:00,day,110,,0,0 days
1442361,294,926,2021-12-07 00:00:00+01:00,day,160,,0,0 days
1445856,294,926,2021-12-08 00:00:00+01:00,day,35,,0,0 days
1449010,294,926,2021-12-09 00:00:00+01:00,day,145,,0,0 days
1465261,294,926,2021-12-13 00:00:00+01:00,day,205,,0,0 days
1461118,294,926,2021-12-12 00:00:00+01:00,day,35,,0,0 days
1457067,294,926,2021-12-11 00:00:00+01:00,day,95,,0,0 days
1476817,294,926,2021-12-16 00:00:00+01:00,day,90,,0,0 days
1468807,294,926,2021-12-14 00:00:00+01:00,day,102,,0,0 days
1480313,294,926,2021-12-17 00:00:00+01:00,day,102,,0,0 days
1493448,294,926,2021-12-20 00:00:00+01:00,day,120,,0,0 days
1489427,294,926,2021-12-19 00:00:00+01:00,day,60,,0,0 days
1752045,294,926,2022-02-23 00:00:00+01:00,day,235,,0,0 days
1497110,294,926,2021-12-21 00:00:00+01:00,day,5,,0,0 days
1556471,294,926,2022-01-02 00:00:00+01:00,day,45,,0,0 days
1755867,294,926,2022-02-24 00:00:00+01:00,day,120,,0,0 days
