visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
912,2022-02-27 23:00:00+00:00,hour,34,30,31,0 days 12:55:25,0 days 04:21:00,0 days 02:31:50,0 days 04:35:20,0 days 01:43:20,0 days 01:38:15,0 days 00:22:48.382353
912,2022-02-28 00:00:00+00:00,hour,25,22,21,0 days 11:13:10,0 days 03:21:20,0 days 02:53:05,0 days 03:44:00,0 days 01:24:50,0 days 01:55:00,0 days 00:26:55.600000
912,2022-02-28 01:00:00+00:00,hour,28,24,24,0 days 11:58:50,0 days 04:33:05,0 days 04:29:40,0 days 01:40:50,0 days 02:15:10,0 days 01:34:50,0 days 00:25:40.357143
912,2022-02-28 02:00:00+00:00,hour,24,20,21,0 days 11:42:05,0 days 03:14:40,0 days 01:24:05,0 days 03:05:50,0 days 00:32:05,0 days 00:53:40,0 days 00:29:15.208333
912,2022-02-28 03:00:00+00:00,hour,26,23,26,0 days 09:14:50,0 days 02:59:15,0 days 00:38:35,0 days 09:14:50,0 days 00:38:35,0 days 02:59:15,0 days 00:21:20.384615
912,2022-02-28 04:00:00+00:00,hour,54,54,49,0 days 04:27:20,0 days 02:50:30,0 days 04:27:20,0 days 01:13:40,0 days 02:50:30,0 days 01:13:40,0 days 00:04:57.037037
912,2022-02-28 05:00:00+00:00,hour,61,56,55,0 days 06:41:00,0 days 03:53:15,0 days 03:27:20,0 days 04:42:50,0 days 02:16:25,0 days 03:06:00,0 days 00:06:34.426230
912,2022-02-28 06:00:00+00:00,hour,142,136,134,0 days 21:00:35,0 days 06:40:40,0 days 19:02:25,0 days 06:26:40,0 days 05:29:45,0 days 05:39:25,0 days 00:08:52.640845
912,2022-02-28 07:00:00+00:00,hour,166,158,146,1 days 18:28:40,0 days 12:11:20,1 days 03:54:45,0 days 03:19:30,0 days 08:00:35,0 days 03:05:20,0 days 00:15:21.204819
912,2022-02-28 08:00:00+00:00,hour,231,211,199,3 days 07:56:30,0 days 23:32:00,1 days 16:47:20,0 days 14:35:40,0 days 13:38:55,0 days 10:40:55,0 days 00:20:45.844156
912,2022-02-28 09:00:00+00:00,hour,273,241,247,3 days 21:07:20,1 days 08:31:20,1 days 03:46:30,1 days 09:08:05,0 days 20:06:20,0 days 20:36:55,0 days 00:20:27.985348
912,2022-02-28 10:00:00+00:00,hour,314,288,288,3 days 18:59:35,1 days 06:07:05,1 days 07:00:20,0 days 21:14:05,0 days 17:30:15,0 days 16:35:50,0 days 00:17:23.232484
912,2022-02-28 11:00:00+00:00,hour,331,305,304,3 days 22:06:25,1 days 06:05:00,1 days 00:20:55,0 days 22:50:35,0 days 16:35:00,0 days 16:10:40,0 days 00:17:03.519637
