visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
910,2022-03-06 23:00:00+00:00,hour,1,1,1,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30
910,2022-03-07 00:00:00+00:00,hour,8,8,8,0 days 00:04:00,0 days 00:04:00,0 days 00:04:00,0 days 00:04:00,0 days 00:04:00,0 days 00:04:00,0 days 00:00:30
910,2022-03-07 01:00:00+00:00,hour,1,1,1,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30
910,2022-03-07 03:00:00+00:00,hour,1,1,1,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30
910,2022-03-07 05:00:00+00:00,hour,1,1,1,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30,0 days 00:00:30
910,2022-03-07 06:00:00+00:00,hour,18,18,18,0 days 00:27:20,0 days 00:27:20,0 days 00:27:20,0 days 00:27:20,0 days 00:27:20,0 days 00:27:20,0 days 00:01:31.111111
910,2022-03-07 07:00:00+00:00,hour,33,33,30,0 days 00:45:10,0 days 00:25:10,0 days 00:45:10,0 days 00:22:10,0 days 00:25:10,0 days 00:22:10,0 days 00:01:22.121212
910,2022-03-07 08:00:00+00:00,hour,27,24,27,0 days 00:45:50,0 days 00:42:50,0 days 00:22:50,0 days 00:45:50,0 days 00:22:50,0 days 00:42:50,0 days 00:01:41.851852
910,2022-03-07 09:00:00+00:00,hour,25,25,23,0 days 01:11:50,0 days 00:50:50,0 days 01:11:50,0 days 00:46:15,0 days 00:50:50,0 days 00:46:15,0 days 00:02:52.400000
910,2022-03-07 10:00:00+00:00,hour,32,30,29,0 days 01:37:25,0 days 01:21:35,0 days 01:11:50,0 days 00:58:40,0 days 01:00:35,0 days 00:54:05,0 days 00:03:02.656250
910,2022-03-07 11:00:00+00:00,hour,52,49,50,0 days 03:25:55,0 days 02:49:55,0 days 02:47:10,0 days 03:07:45,0 days 02:38:40,0 days 02:40:15,0 days 00:03:57.596154
910,2022-03-07 12:00:00+00:00,hour,78,76,78,0 days 02:53:10,0 days 02:43:30,0 days 02:35:00,0 days 02:53:10,0 days 02:35:00,0 days 02:43:30,0 days 00:02:13.205128
910,2022-03-07 13:00:00+00:00,hour,70,70,69,0 days 03:06:05,0 days 02:49:15,0 days 03:06:05,0 days 02:40:20,0 days 02:49:15,0 days 02:40:20,0 days 00:02:39.500000
