id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1973813,294,924,2022-03-20 11:00:00+00:00,hour,85,0 days 00:02:04.562401,0,0 days 00:00:00
1973808,294,924,2022-03-20 00:00:00+00:00,hour,60,0 days 00:04:15.536976,0,0 days 00:00:00
1973809,294,924,2022-03-20 05:00:00+00:00,hour,5,0 days 00:00:36.250000,0,0 days 00:00:00
1973810,294,924,2022-03-20 07:00:00+00:00,hour,10,0 days 00:00:30,0,0 days 00:00:00
1973811,294,924,2022-03-20 09:00:00+00:00,hour,30,0 days 00:01:18.100649,0,0 days 00:00:00
1973812,294,924,2022-03-20 10:00:00+00:00,hour,50,0 days 00:03:33.347145,0,0 days 00:00:00
1973814,294,924,2022-03-20 12:00:00+00:00,hour,77,0 days 00:02:36.988293,0,0 days 00:00:00
1973815,294,924,2022-03-20 13:00:00+00:00,hour,105,0 days 00:02:16.336104,0,0 days 00:00:00
1973816,294,924,2022-03-20 14:00:00+00:00,hour,127,0 days 00:01:05.211645,0,0 days 00:00:00
1973817,294,924,2022-03-20 15:00:00+00:00,hour,122,0 days 00:02:12.353488,0,0 days 00:00:00
1973818,294,924,2022-03-20 16:00:00+00:00,hour,110,0 days 00:03:06.920432,0,0 days 00:00:00
1973819,294,924,2022-03-20 17:00:00+00:00,hour,100,0 days 00:02:25.005722,0,0 days 00:00:00
1973820,294,924,2022-03-20 18:00:00+00:00,hour,90,0 days 00:02:05.587179,0,0 days 00:00:00
1973821,294,924,2022-03-20 19:00:00+00:00,hour,80,0 days 00:03:05.164895,0,0 days 00:00:00
1973822,294,924,2022-03-20 20:00:00+00:00,hour,50,0 days 00:02:29.005669,0,0 days 00:00:00
1973823,294,924,2022-03-20 21:00:00+00:00,hour,35,0 days 00:01:17.215701,0,0 days 00:00:00
1962803,294,924,2022-03-18 16:00:00+00:00,hour,235,0 days 00:01:55.686266,0,0 days 00:00:00
